address,lat,lon
Eensgevonden (Bouwnr. 8),-1.0,-1.0
Regular Suite (Bouwnr. 35),-1.0,-1.0
Regular Suite (Bouwnr. 11),-1.0,-1.0
Regular Suite (Bouwnr. 36),-1.0,-1.0
Nelson (Bouwnr. 29),-1.0,-1.0
Eensgevonden (Bouwnr. 6),-1.0,-1.0
Nelson (Bouwnr. 31),-1.0,-1.0
Nelson (Bouwnr. 5),-1.0,-1.0
Regular Suite (Bouwnr. 38),-1.0,-1.0
Nelson (Bouwnr. 6),-1.0,-1.0
Regular Suite (Bouwnr. 24),-1.0,-1.0
Canal Suite (Bouwnr. 33),-1.0,-1.0
Nelson (Bouwnr. 55),-1.0,-1.0
Nelson (Bouwnr. 109),-1.0,-1.0
Regular Suite (Bouwnr. 29),-1.0,-1.0
Regular Suite (Bouwnr. 7),-1.0,-1.0
Nelson (Bouwnr. 23),-1.0,-1.0
Florine - parkvilla 12 - (Bouwnr. 73),-1.0,-1.0
Pura - parkvilla 10 - (Bouwnr. 9),-1.0,-1.0
Nelson (Bouwnr. 22),-1.0,-1.0
Regular Suite (Bouwnr. 19),-1.0,-1.0
Sola - parkvilla 10 - (Bouwnr. 3),-1.0,-1.0
Rivo - parkvilla 11 - (Bouwnr. 49),-1.0,-1.0
Regular Suite (Bouwnr. 44),-1.0,-1.0
Nelson (Bouwnr. 76),-1.0,-1.0
betaalbare koopappartementen (Bouwnr. 10.01 - M1),-1.0,-1.0
Nelson (Bouwnr. 82),-1.0,-1.0
Eensgevonden (Bouwnr. 14),-1.0,-1.0
Nelson (Bouwnr. 103),-1.0,-1.0
Regular Suite (Bouwnr. 49),-1.0,-1.0
Nelson (Bouwnr. 45),-1.0,-1.0
Limo - parkvilla 11 - (Bouwnr. 53),-1.0,-1.0
Regular Suite (Bouwnr. 39),-1.0,-1.0
Nelson (Bouwnr. 98),-1.0,-1.0
Florine - parkvilla 12 - (Bouwnr. 78),-1.0,-1.0
Regular Suite (Bouwnr. 48),-1.0,-1.0
Nelson (Bouwnr. 13),-1.0,-1.0
Elvire - parkvilla 12 - (Bouwnr. 58),-1.0,-1.0
Nelson (Bouwnr. 60),-1.0,-1.0
Regular Suite (Bouwnr. 40),-1.0,-1.0
Nelson (Bouwnr. 9),-1.0,-1.0
Regular Suite (Bouwnr. 28),-1.0,-1.0
Corner Suite (Bouwnr. 10),-1.0,-1.0
Nelson (Bouwnr. 47),-1.0,-1.0
Regular Suite (Bouwnr. 13),-1.0,-1.0
Eensgevonden (Bouwnr. 13),-1.0,-1.0
Eensgevonden (Bouwnr. 16),-1.0,-1.0
Eensgevonden (Bouwnr. 5),-1.0,-1.0
Vivre - parkvilla 12 - (Bouwnr. 70),-1.0,-1.0
Pura - parkvilla 10 - (Bouwnr. 6),-1.0,-1.0
Eensgevonden (Bouwnr. 15),-1.0,-1.0
Limo - parkvilla 11 - (Bouwnr. 43),-1.0,-1.0
Aldo - parkvilla 11 - (Bouwnr. 50),-1.0,-1.0
Nelson (Bouwnr. 61),-1.0,-1.0
Nelson (Bouwnr. 12),-1.0,-1.0
Nova - parkvilla 10 - (Bouwnr. 33),-1.0,-1.0
Eensgevonden (Bouwnr. 10),-1.0,-1.0
Regular Suite (Bouwnr. 37),-1.0,-1.0
Regular Suite (Bouwnr. 12),-1.0,-1.0
Luna - parkvilla 10 - (Bouwnr. 26),-1.0,-1.0
Sola - parkvilla 10 - (Bouwnr. 21),-1.0,-1.0
Regular Suite (Bouwnr. 43),-1.0,-1.0
Nelson (Bouwnr. 95),-1.0,-1.0
Eensgevonden (Bouwnr. 7),-1.0,-1.0
Nelson (Bouwnr. 105),-1.0,-1.0
Eensgevonden (Bouwnr. 1),-1.0,-1.0
Regular Suite (Bouwnr. 46),-1.0,-1.0
Ella - parkvilla 10 - (Bouwnr. 30),-1.0,-1.0
Regular Suite (Bouwnr. 45),-1.0,-1.0
Vivre - parkvilla 12 - (Bouwnr. 75),-1.0,-1.0
Regular Suite (Bouwnr. 50),-1.0,-1.0
Nelson (Bouwnr. 8),-1.0,-1.0
Regular Suite (Bouwnr. 31),-1.0,-1.0
Amare - parkvilla 12 - (Bouwnr. 63),-1.0,-1.0
Ella - parkvilla 10 - (Bouwnr. 11),-1.0,-1.0
Eensgevonden (Bouwnr. 11),-1.0,-1.0
Nelson (Bouwnr. 46),-1.0,-1.0
Regular Suite (Bouwnr. 15),-1.0,-1.0
Regular Suite (Bouwnr. 18),-1.0,-1.0
Canal Suite (Bouwnr. 1),-1.0,-1.0
Corner Suite (Bouwnr. 58),-1.0,-1.0
Luna - parkvilla 10 - (Bouwnr. 17),-1.0,-1.0
Luna - parkvilla 10 - (Bouwnr. 10),-1.0,-1.0
Corner Suite (Bouwnr. 42),-1.0,-1.0
Regular Suite (Bouwnr. 21),-1.0,-1.0
Rivo - parkvilla 11 - (Bouwnr. 39),-1.0,-1.0
Sola - parkvilla 10 - (Bouwnr. 13),-1.0,-1.0
Regular Suite (Bouwnr. 23),-1.0,-1.0
Nelson (Bouwnr. 40),-1.0,-1.0
Nelson (Bouwnr. 11),-1.0,-1.0
Nelson (Bouwnr. 57),-1.0,-1.0
Regular Suite (Bouwnr. 56),-1.0,-1.0
Regular Suite (Bouwnr. 14),-1.0,-1.0
Nelson (Bouwnr. 88),-1.0,-1.0
Eensgevonden (Bouwnr. 4),-1.0,-1.0
Nelson (Bouwnr. 7),-1.0,-1.0
Florine - parkvilla 12 - (Bouwnr. 69),-1.0,-1.0
Eensgevonden (Bouwnr. 9),-1.0,-1.0
Limo - parkvilla 11 - (Bouwnr. 48),-1.0,-1.0
Regular Suite (Bouwnr. 41),-1.0,-1.0
Regular Suite (Bouwnr. 52),-1.0,-1.0
Nelson (Bouwnr. 104),-1.0,-1.0
Aldo - parkvilla 11 - (Bouwnr. 45),-1.0,-1.0
Zylo - parkvilla 11 - (Bouwnr. 56),-1.0,-1.0
Nelson (Bouwnr. 97),-1.0,-1.0
Ella - parkvilla 10 - (Bouwnr. 1),-1.0,-1.0
Regular Suite (Bouwnr. 30),-1.0,-1.0
Nelson (Bouwnr. 39),-1.0,-1.0
Ferro - parkvilla 11 - (Bouwnr. 54),-1.0,-1.0
Eensgevonden (Bouwnr. 12),-1.0,-1.0
Regular Suite (Bouwnr. 55),-1.0,-1.0
Regular Suite (Bouwnr. 32),-1.0,-1.0
Nelson (Bouwnr. 30),-1.0,-1.0
Amare - parkvilla 12 - (Bouwnr. 72),-1.0,-1.0
Nelson (Bouwnr. 38),-1.0,-1.0
Eensgevonden (Bouwnr. 3),-1.0,-1.0
Sola - parkvilla 10 - (Bouwnr. 7),-1.0,-1.0
Nelson (Bouwnr. 77),-1.0,-1.0
Regular Suite (Bouwnr. 51),-1.0,-1.0
Regular Suite (Bouwnr. 47),-1.0,-1.0
Nelson (Bouwnr. 15),-1.0,-1.0
Regular Suite (Bouwnr. 57),-1.0,-1.0
Regular Suite (Bouwnr. 54),-1.0,-1.0
Florine - parkvilla 12 - (Bouwnr. 76),-1.0,-1.0
Nelson (Bouwnr. 1),-1.0,-1.0
Limo - parkvilla 11 - (Bouwnr. 38),-1.0,-1.0
Regular Suite (Bouwnr. 25),-1.0,-1.0
Regular Suite (Bouwnr. 27),-1.0,-1.0
Canal Suite (Bouwnr. 17),-1.0,-1.0
Luna - parkvilla 10 - (Bouwnr. 2),-1.0,-1.0
Nelson (Bouwnr. 86),-1.0,-1.0
Corner Suite (Bouwnr. 53),-1.0,-1.0
betaalbare koopappartementen (Bouwnr. 10.09 - M2),-1.0,-1.0
Regular Suite (Bouwnr. 22),-1.0,-1.0
Regular Suite (Bouwnr. 16),-1.0,-1.0
Florine - parkvilla 12 - (Bouwnr. 68),-1.0,-1.0
Nelson (Bouwnr. 14),-1.0,-1.0
Luna - parkvilla 10 - (Bouwnr. 19),-1.0,-1.0
Eensgevonden (Bouwnr. 2),-1.0,-1.0
Rivo - parkvilla 11 - (Bouwnr. 44),-1.0,-1.0
August Vermeylenstraat 102,51.0197305,3.7181029
August Vermeylenstraat 200,51.0201999,3.7183815
Appartement type O (Bouwnr. 207),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 86),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 69),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 430),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 477),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 131),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 96),51.47077276666667,4.090063566666667
Waterappartement (Bouwnr. 452),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 421),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 440),51.47077276666667,4.090063566666667
Appartement type N (Bouwnr. 178),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 456),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 429),51.47077276666667,4.090063566666667
Appartement type P (Bouwnr. 224),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 236),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 192),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 113),51.47077276666667,4.090063566666667
Waterappartement (Bouwnr. 454),51.47077276666667,4.090063566666667
Appartement type P (Bouwnr. 223),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 200),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 191),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 59),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 141),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 23),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 458),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 149),51.47077276666667,4.090063566666667
Appartement type M (Bouwnr. 177),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 6),51.47077276666667,4.090063566666667
Appartement type R (Bouwnr. 239),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 32),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 432),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 422),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 214),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 424),51.47077276666667,4.090063566666667
Waterappartement (Bouwnr. 416),51.47077276666667,4.090063566666667
Appartement type O (Bouwnr. 205),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 433),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 475),51.47077276666667,4.090063566666667
Appartement type E (Bouwnr. 95),51.47077276666667,4.090063566666667
Stadsappartement (Bouwnr. 450),51.47077276666667,4.090063566666667
Appartement type F (Bouwnr. 15),51.47077276666667,4.090063566666667
